Philosopher: 2, Time: 1 ms, entering thinking state
Philosopher: 0, Time: 1 ms, entering thinking state
Philosopher: 1, Time: 1 ms, entering thinking state
Philosopher: 3, Time: 1 ms, entering thinking state
Philosopher: 2, Time: 20 ms, entering hungry state
Philosopher: 2, Time: 25 ms, picked up fork 2
Philosopher: 2, Time: 25 ms, picked up fork 3
Philosopher: 2, Time: 25 ms, entering eating state. Will eat for 27 ms.
Philosopher: 1, Time: 27 ms, entering hungry state
Philosopher: 0, Time: 27 ms, entering hungry state
Philosopher: 3, Time: 27 ms, entering hungry state
Philosopher: 0, Time: 27 ms, picked up fork 0
Philosopher: 1, Time: 27 ms, picked up fork 1
Philosopher: 2, Time: 53 ms, entering thinking state
Philosopher: 2, Time: 66 ms, entering hungry state
Philosopher: 2, Time: 66 ms, picked up fork 2
Philosopher: 2, Time: 66 ms, picked up fork 3
Philosopher: 2, Time: 66 ms, entering eating state. Will eat for 36 ms.
Philosopher: 2, Time: 104 ms, entering thinking state
Philosopher: 3, Time: 109 ms, picked up fork 3
Philosopher: 3, Time: 109 ms, picked up fork 0
Philosopher: 3, Time: 109 ms, entering eating state. Will eat for 37 ms.
Philosopher: 1, Time: 110 ms, picked up fork 1
Philosopher: 1, Time: 110 ms, picked up fork 2
Philosopher: 1, Time: 110 ms, entering eating state. Will eat for 19 ms.
Philosopher: 2, Time: 116 ms, entering hungry state
Philosopher: 1, Time: 131 ms, entering thinking state
Philosopher: 1, Time: 143 ms, entering hungry state
Philosopher: 1, Time: 143 ms, picked up fork 1
Philosopher: 1, Time: 143 ms, picked up fork 2
Philosopher: 1, Time: 143 ms, entering eating state. Will eat for 35 ms.
Philosopher: 3, Time: 149 ms, entering thinking state
Philosopher: 3, Time: 160 ms, entering hungry state
Philosopher: 3, Time: 160 ms, picked up fork 3
Philosopher: 3, Time: 160 ms, picked up fork 0
Philosopher: 3, Time: 160 ms, entering eating state. Will eat for 29 ms.
Philosopher: 1, Time: 179 ms, entering thinking state
Philosopher: 2, Time: 184 ms, picked up fork 2
Philosopher: 1, Time: 191 ms, entering hungry state
Philosopher: 3, Time: 191 ms, entering thinking state
Philosopher: 1, Time: 191 ms, picked up fork 1
Philosopher: 1, Time: 191 ms, picked up fork 2
Philosopher: 1, Time: 191 ms, entering eating state. Will eat for 40 ms.
Philosopher: 3, Time: 202 ms, entering hungry state
Philosopher: 3, Time: 202 ms, picked up fork 3
Philosopher: 3, Time: 202 ms, picked up fork 0
Philosopher: 3, Time: 202 ms, entering eating state. Will eat for 27 ms.
Philosopher: 3, Time: 232 ms, entering thinking state
Philosopher: 1, Time: 233 ms, entering thinking state
Philosopher: 3, Time: 244 ms, entering hungry state
Philosopher: 3, Time: 244 ms, picked up fork 3
Philosopher: 3, Time: 244 ms, picked up fork 0
Philosopher: 3, Time: 244 ms, entering eating state. Will eat for 11 ms.
Philosopher: 1, Time: 245 ms, entering hungry state
Philosopher: 1, Time: 245 ms, picked up fork 1
Philosopher: 1, Time: 245 ms, picked up fork 2
Philosopher: 1, Time: 245 ms, entering eating state. Will eat for 14 ms.
Philosopher: 3, Time: 256 ms, entering thinking state
Philosopher: 1, Time: 261 ms, entering thinking state
Philosopher: 2, Time: 265 ms, picked up fork 2
Philosopher: 2, Time: 265 ms, picked up fork 3
Philosopher: 2, Time: 265 ms, entering eating state. Will eat for 21 ms.
Philosopher: 3, Time: 268 ms, entering hungry state
Philosopher: 1, Time: 274 ms, entering hungry state
Philosopher: 1, Time: 274 ms, picked up fork 1
Philosopher: 0, Time: 280 ms, picked up fork 0
Philosopher: 0, Time: 280 ms, picked up fork 1
Philosopher: 0, Time: 280 ms, entering eating state. Will eat for 37 ms.
Philosopher: 2, Time: 290 ms, entering thinking state
Philosopher: 2, Time: 301 ms, entering hungry state
Philosopher: 2, Time: 301 ms, picked up fork 2
Philosopher: 2, Time: 301 ms, picked up fork 3
Philosopher: 2, Time: 301 ms, entering eating state. Will eat for 29 ms.
Philosopher: 0, Time: 319 ms, entering thinking state
Philosopher: 0, Time: 331 ms, entering hungry state
Philosopher: 0, Time: 331 ms, picked up fork 0
Philosopher: 0, Time: 331 ms, picked up fork 1
Philosopher: 0, Time: 331 ms, entering eating state. Will eat for 18 ms.
Philosopher: 2, Time: 332 ms, entering thinking state
Philosopher: 2, Time: 342 ms, entering hungry state
Philosopher: 2, Time: 342 ms, picked up fork 2
Philosopher: 2, Time: 342 ms, picked up fork 3
Philosopher: 2, Time: 342 ms, entering eating state. Will eat for 39 ms.
Philosopher: 0, Time: 349 ms, entering thinking state
Philosopher: 0, Time: 360 ms, entering hungry state
Philosopher: 0, Time: 360 ms, picked up fork 0
Philosopher: 0, Time: 360 ms, picked up fork 1
Philosopher: 0, Time: 360 ms, entering eating state. Will eat for 15 ms.
Philosopher: 0, Time: 376 ms, entering thinking state
Philosopher: 2, Time: 382 ms, entering thinking state
Philosopher: 0, Time: 388 ms, entering hungry state
Philosopher: 0, Time: 388 ms, picked up fork 0
Philosopher: 0, Time: 388 ms, picked up fork 1
Philosopher: 0, Time: 388 ms, entering eating state. Will eat for 31 ms.
Philosopher: 2, Time: 394 ms, entering hungry state
Philosopher: 2, Time: 394 ms, picked up fork 2
Philosopher: 2, Time: 394 ms, picked up fork 3
Philosopher: 2, Time: 394 ms, entering eating state. Will eat for 17 ms.
Philosopher: 2, Time: 413 ms, entering thinking state
Philosopher: 0, Time: 421 ms, entering thinking state
Philosopher: 2, Time: 424 ms, entering hungry state
Philosopher: 2, Time: 424 ms, picked up fork 2
Philosopher: 2, Time: 424 ms, picked up fork 3
Philosopher: 2, Time: 424 ms, entering eating state. Will eat for 29 ms.
Philosopher: 1, Time: 432 ms, picked up fork 1
Philosopher: 0, Time: 433 ms, entering hungry state
Philosopher: 0, Time: 433 ms, picked up fork 0
Philosopher: 0, Time: 433 ms, picked up fork 1
Philosopher: 0, Time: 433 ms, entering eating state. Will eat for 36 ms.
Philosopher: 2, Time: 454 ms, entering thinking state
Philosopher: 2, Time: 466 ms, entering hungry state
Philosopher: 2, Time: 466 ms, picked up fork 2
Philosopher: 2, Time: 466 ms, picked up fork 3
Philosopher: 2, Time: 466 ms, entering eating state. Will eat for 26 ms.
Philosopher: 0, Time: 470 ms, entering thinking state
Philosopher: 0, Time: 482 ms, entering hungry state
Philosopher: 0, Time: 482 ms, picked up fork 0
Philosopher: 0, Time: 482 ms, picked up fork 1
Philosopher: 0, Time: 482 ms, entering eating state. Will eat for 25 ms.
Philosopher: 2, Time: 495 ms, entering thinking state
Philosopher: 2, Time: 506 ms, entering hungry state
Philosopher: 2, Time: 506 ms, picked up fork 2
Philosopher: 2, Time: 506 ms, picked up fork 3
Philosopher: 2, Time: 506 ms, entering eating state. Will eat for 18 ms.
Philosopher: 0, Time: 508 ms, entering thinking state
Philosopher: 0, Time: 519 ms, entering hungry state
Philosopher: 0, Time: 519 ms, picked up fork 0
Philosopher: 0, Time: 519 ms, picked up fork 1
Philosopher: 0, Time: 519 ms, entering eating state. Will eat for 24 ms.
Philosopher: 2, Time: 526 ms, entering thinking state
Philosopher: 2, Time: 538 ms, entering hungry state
Philosopher: 2, Time: 538 ms, picked up fork 2
Philosopher: 2, Time: 538 ms, picked up fork 3
Philosopher: 2, Time: 538 ms, entering eating state. Will eat for 29 ms.
Philosopher: 0, Time: 544 ms, entering thinking state
Philosopher: 0, Time: 555 ms, entering hungry state
Philosopher: 0, Time: 555 ms, picked up fork 0
Philosopher: 0, Time: 555 ms, picked up fork 1
Philosopher: 0, Time: 555 ms, entering eating state. Will eat for 27 ms.
Philosopher: 2, Time: 568 ms, entering thinking state
Philosopher: 3, Time: 569 ms, picked up fork 3
Philosopher: 2, Time: 579 ms, entering hungry state
Philosopher: 2, Time: 579 ms, picked up fork 2
Philosopher: 2, Time: 579 ms, picked up fork 3
Philosopher: 2, Time: 579 ms, entering eating state. Will eat for 29 ms.
Philosopher: 0, Time: 584 ms, entering thinking state
Philosopher: 1, Time: 585 ms, picked up fork 1
Philosopher: 0, Time: 596 ms, entering hungry state
Philosopher: 0, Time: 596 ms, picked up fork 0
Philosopher: 0, Time: 596 ms, picked up fork 1
Philosopher: 0, Time: 596 ms, entering eating state. Will eat for 28 ms.
Philosopher: 2, Time: 611 ms, entering thinking state
Philosopher: 2, Time: 624 ms, entering hungry state
Philosopher: 2, Time: 624 ms, picked up fork 2
Philosopher: 2, Time: 624 ms, picked up fork 3
Philosopher: 2, Time: 624 ms, entering eating state. Will eat for 26 ms.
Philosopher: 0, Time: 626 ms, entering thinking state
Philosopher: 0, Time: 638 ms, entering hungry state
